species,owner,countryof_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,numberof_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner1,variety,processing_method,moisture,category_one_defects,quakers,color,category_two_defects,expiration,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points
Arabica,metad plc,Ethiopia,metad plc,,metad plc,2014/2015,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,,Washed / Wet,0.12,0,0.0,Green,0,"April 3rd, 2016",m,1950.0,2200.0,2075.0,77.32617505460288,100.0,100.0,100.0,77.32617505460288,71.77280037198474,100.0,100.0,100.0,75.12690294050934,100.0
Arabica,metad plc,Ethiopia,metad plc,,metad plc,2014/2015,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Washed / Wet,0.12,0,0.0,Green,1,"April 3rd, 2016",m,1950.0,2200.0,2075.0,100.0,76.05831772385616,74.38451841636736,79.38635915586072,75.12690294050968,71.77280037198474,100.0,100.0,100.0,72.13928049754914,79.38635915585985
Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",,,,,1600 - 1800 m,,,5,1,Specialty Coffee Association,,"May 31st, 2010",Grounds for Health Admin,Bourbon,,0.0,0,0.0,,0,"May 31st, 2011",m,1600.0,1800.0,1700.0,72.54104834195455,72.54104834195455,72.98649783097258,72.13928049754914,73.22913015363474,71.77280037198474,100.0,100.0,100.0,77.32617505460244,77.32617505460288
Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,,wolensu,,yidnekachew debessa coffee plantation,1800-2200,oromia,Yidnekachew Dabessa Coffee Plantation,320,60 kg,METAD Agricultural Development plc,2014,"March 26th, 2015",Yidnekachew Dabessa,,Natural / Dry,0.11,0,0.0,Green,2,"March 25th, 2016",m,1800.0,2200.0,2000.0,67.31179990686952,73.76406399703974,72.98649783097258,72.13928049754914,77.32617505460288,69.38974654884584,100.0,100.0,100.0,73.76406399703974,76.05831772385511
Arabica,metad plc,Ethiopia,metad plc,,metad plc,2014/2015,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Washed / Wet,0.12,0,0.0,Green,2,"April 3rd, 2016",m,1950.0,2200.0,2075.0,69.08952548890379,72.54104834195455,71.60080490912375,74.73730614718684,75.12690294050968,70.17460675379785,100.0,100.0,100.0,72.13928049754914,75.12690294050958
Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010/0338,,1570-1700,oromia,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,,,0.03,0,0.0,,0,"September 2nd, 2011",m,1570.0,1700.0,1635.0,69.08952548890379,69.93656582503976,74.38451841636736,72.13928049754914,73.22913015363474,73.22913015363474,100.0,100.0,35.404048572007326,76.05831772385596,74.3845184163673
Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010/0338,,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,,,0.03,0,0.0,,0,"September 2nd, 2011",m,1570.0,1700.0,1635.0,77.32617505460288,76.05831772385616,77.32617505460288,72.13928049754914,73.22913015363474,71.77280037198474,37.093842995122785,100.0,35.404048572007326,73.76406399703974,73.76406399703963
Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,,tulla coffee farm,2014/15,diamond enterprise plc,1795-1850,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60 kg,METAD Agricultural Development plc,2014,"March 30th, 2015",Diamond Enterprise Plc,Other,Natural / Dry,0.1,0,0.0,Green,4,"March 29th, 2016",m,1795.0,1850.0,1822.5,65.82315006881252,73.76406399703974,74.38451841636736,74.73730614718684,55.91180052581991,71.77280037198474,100.0,100.0,100.0,70.17460675379785,73.22913015363474
Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,,,,fahem coffee plantation,1855-1955,oromia,Fahem Coffee Plantation,300,60 kg,METAD Agricultural Development plc,2014,"March 27th, 2015",Mohammed Lalo,,Natural / Dry,0.1,0,0.0,,1,"March 26th, 2016",m,1855.0,1955.0,1905.0,67.31179990686952,76.05831772385616,71.60080490912375,74.73730614718684,58.69548950759715,67.9661507366597,100.0,100.0,100.0,72.13928049754914,72.75767165680656
Arabica,cqi q coffee sample representative,United States,el filo,,,unknown,coffee quality institute,meters above sea level: 1.872,antioquia,Alfredo De Jesús López Pérez,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,0.0,0,0.0,,0,"March 12th, 2016",m,1872.0,1872.0,1872.0,69.08952548890379,70.97417940077986,70.17460675379785,70.17460675379785,68.45350997602131,67.9661507366597,100.0,100.0,100.0,70.17460675379785,71.95205620313713
Arabica,cqi q coffee sample representative,United States,los cedros,,,unknown,coffee quality institute,meters above sea level: 1.943,antioquia,Jorge Walter Restrepo,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,0.0,0,0.0,,0,"March 12th, 2016",m,1943.0,1943.0,1943.0,65.82315006881252,76.05831772385616,72.33529266925859,72.13928049754914,65.92884500739828,66.43005638128265,100.0,100.0,100.0,68.20398738011882,71.95205620313713
Arabica,grounds for health admin,United States (Hawaii),arianna farms,,,,,2000 ft,kona,"Robert, Sharon, Arianna Wood",1,1,Specialty Coffee Association,Sept 2009 - April 2010,"May 31st, 2010",Grounds for Health Admin,,,0.0,0,0.0,,2,"May 31st, 2011",ft,609.6,609.6,609.6,70.69152523516453,70.97417940077986,68.99346224504907,68.899257719668,71.77280037198474,64.68213542417124,100.0,100.0,100.0,72.13928049754914,71.95205620313713
Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010/0338,,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,March 2010,"August 31st, 2010",Ethiopia Commodity Exchange,,,0.05,0,0.0,,2,"August 31st, 2011",m,1570.0,1700.0,1635.0,69.08952548890379,69.93656582503976,74.38451841636736,68.899257719668,100.0,100.0,37.093842995122785,100.0,35.404048572007326,70.17460675379785,71.27620679182743
